MANUAL ID,TRUE POSITIVE,FALSE NEGATIVE,FALSE POSITIVE,PRECISION,RECALL,F1
Chlorothraupis-carmioli,33.0,3.0,0.0,1.0,0.9167,0.9565
Chondrohierax-uncinatus,27.0,0.0,51.0,0.3462,1.0,0.5143
Chordeiles-minor,27.0,12.0,0.0,1.0,0.6923,0.8182
Chordeiles-rupestris,27.0,18.0,6.0,0.8182,0.6,0.6923
Chroicocephalus-serranus,66.0,24.0,0.0,1.0,0.7333,0.8462
Chrysuronia-oenone,39.0,0.0,9.0,0.8125,1.0,0.8966
Cinclodes-albiventris,30.0,6.0,3.0,0.9091,0.8333,0.8696
Cinnycerthia-fulva,39.0,27.0,0.0,1.0,0.5909,0.7429
Cissopis-leverianus,51.0,0.0,0.0,1.0,1.0,1.0
Clibanornis-rubiginosus,78.0,111.0,0.0,1.0,0.4127,0.5843
Cnipodectes-superrufus,33.0,60.0,9.0,0.7857,0.3548,0.4889
Coccyzus-americanus,15.0,6.0,0.0,1.0,0.7143,0.8333
Coccyzus-erythropthalmus,108.0,3.0,3.0,0.973,0.973,0.973
Cochlearius-cochlearius,12.0,30.0,0.0,1.0,0.2857,0.4444
Coeligena-coeligena,84.0,0.0,0.0,1.0,1.0,1.0
Coeligena-violifer,18.0,9.0,0.0,1.0,0.6667,0.8
Coereba-flaveola,51.0,3.0,0.0,1.0,0.9444,0.9714
Colaptes-punctigula,6.0,0.0,0.0,1.0,1.0,1.0
Colaptes-rivolii,36.0,15.0,21.0,0.6316,0.7059,0.6667
Colaptes-rubiginosus,33.0,45.0,12.0,0.7333,0.4231,0.5366
Colaptes-rupicola,24.0,3.0,0.0,1.0,0.8889,0.9412
Colibri-delphinae,252.0,6.0,30.0,0.8936,0.9767,0.9333
Colonia-colonus,21.0,9.0,3.0,0.875,0.7,0.7778
Columbina-picui,45.0,0.0,12.0,0.7895,1.0,0.8824
Conirostrum-ferrugineiventre,36.0,0.0,0.0,1.0,1.0,1.0
Conopias-trivirgatus,42.0,9.0,0.0,1.0,0.8235,0.9032
Conopophaga-ardesiaca,24.0,0.0,3.0,0.8889,1.0,0.9412
Conopophaga-peruviana,18.0,0.0,21.0,0.4615,1.0,0.6316
Contopus-cinereus,21.0,9.0,0.0,1.0,0.7,0.8235
Contopus-cooperi,54.0,3.0,0.0,1.0,0.9474,0.973
Contopus-nigrescens,123.0,0.0,6.0,0.9535,1.0,0.9762
Contopus-sordidulus,21.0,9.0,0.0,1.0,0.7,0.8235
Contopus-virens,69.0,15.0,15.0,0.8214,0.8214,0.8214
Coryphaspiza-melanotis,12.0,3.0,0.0,1.0,0.8,0.8889
Cotinga-maynana,6.0,0.0,3.0,0.6667,1.0,0.8
Cranioleuca-curtata,57.0,12.0,6.0,0.9048,0.8261,0.8636
Cranioleuca-gutturata,114.0,45.0,15.0,0.8837,0.717,0.7917
Cranioleuca-marcapatae,159.0,0.0,0.0,1.0,1.0,1.0
Crax-globulosa,24.0,0.0,0.0,1.0,1.0,1.0
Crotophaga-major,9.0,6.0,72.0,0.1111,0.6,0.1875
Crypturellus-cinereus,6.0,150.0,0.0,1.0,0.0385,0.0741
Crypturellus-obsoletus,51.0,45.0,9.0,0.85,0.5312,0.6538
Crypturellus-parvirostris,60.0,12.0,0.0,1.0,0.8333,0.9091
Crypturellus-soui,102.0,15.0,39.0,0.7234,0.8718,0.7907
Cyanocorax-cyanomelas,48.0,27.0,3.0,0.9412,0.64,0.7619
Cyanocorax-violaceus,114.0,3.0,12.0,0.9048,0.9744,0.9383
Cyanolyca-viridicyanus,12.0,0.0,0.0,1.0,1.0,1.0
Cyclarhis-gujanensis,108.0,0.0,21.0,0.8372,1.0,0.9114
Cymbilaimus-lineatus,18.0,42.0,27.0,0.4,0.3,0.3429
Cymbilaimus-sanctaemariae,108.0,3.0,57.0,0.6545,0.973,0.7826
Cyphorhinus-arada,9.0,30.0,3.0,0.75,0.2308,0.3529
Dacnis-cayana,36.0,42.0,6.0,0.8571,0.4615,0.6
Dacnis-lineata,45.0,6.0,6.0,0.8824,0.8824,0.8824
Daptrius-ater,72.0,78.0,9.0,0.8889,0.48,0.6234
Deconychura-longicauda,48.0,24.0,24.0,0.6667,0.6667,0.6667
Dendrocincla-fuliginosa,3.0,3.0,3.0,0.5,0.5,0.5
Dendrocolaptes-certhia,45.0,99.0,36.0,0.5556,0.3125,0.4
Dendrocolaptes-picumnus,42.0,42.0,3.0,0.9333,0.5,0.6512
Dendroplex-picus,24.0,9.0,0.0,1.0,0.7273,0.8421
